"序号","时间戳","帧类型","帧格式","CAN类型","ID","状态","数据长度","数据内容"
"1","11:11:42.926","标准帧","数据帧","CAN","0x1","发送成功","8","FF FF FF FF FF FF FF FC"
"2","11:11:42.926","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B D7 7F E8 00 21 1F"
"3","11:12:20.382","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"4","11:12:20.382","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B D7 7F F7 FF 21 1F"
"5","11:12:20.382","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"6","11:12:20.382","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B D7 7F F8 00 21 1F"
"7","11:12:20.382","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"8","11:12:20.382","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B D7 80 08 04 21 1F"
"9","11:12:20.393","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"10","11:12:20.393","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B D8 80 28 0C 21 1F"
"11","11:12:20.393","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"12","11:12:20.393","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B D9 80 38 11 21 1F"
"13","11:12:20.393","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"14","11:12:20.393","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B DA 80 98 1B 21 1F"
"15","11:12:20.393","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"16","11:12:20.393","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B DB 80 B8 1F 21 1F"
"17","11:12:20.393","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"18","11:12:20.393","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B DD 81 08 24 21 1F"
"19","11:12:20.393","标准帧","数据帧","CAN","0x201","发送成功","4","00 00 80 3F"
"20","11:12:20.393","标准帧","数据帧","CAN","0x0","接收成功","8","11 9B E1 81 B8 29 21 1F"
